nilsbacke@Nilss-MacBook-Pro-M1:project6 (master)$ ./sim.py tests/partition-4.json 
success 0002 61RQSWOUA61ATOVQ True
success 0002 61RQSWOUA61ATOVQ False
success 0002 61RQSWOUA61ATOVQ False
success 0002 054DOSW3JGLAY867 True
success 0002 054DOSW3JGLAY867 True
success 0002 054DOSW3JGLAY867 False
success 0002 054DOSW3JGLAY867 False
success 0002 FUWCHHJRPB9I2WZN True
success 0002 FUWCHHJRPB9I2WZN True
success 0002 FUWCHHJRPB9I2WZN False
success 0002 FUWCHHJRPB9I2WZN False
success 0002 32HYM1YRWUVDP4EA True
success 0002 32HYM1YRWUVDP4EA True
success 0002 32HYM1YRWUVDP4EA False
success 0002 32HYM1YRWUVDP4EA False
success 0002 ASMSBBO07WT4K3SX True
success 0002 ASMSBBO07WT4K3SX True
success 0002 ASMSBBO07WT4K3SX False
success 0002 ASMSBBO07WT4K3SX False
success 0002 2RF48TAIDBCP4K9P True
success 0002 2RF48TAIDBCP4K9P True
success 0002 2RF48TAIDBCP4K9P False
success 0002 2RF48TAIDBCP4K9P False
success 0002 FKL77HPMSXWBH6BC True
success 0002 FKL77HPMSXWBH6BC True
success 0002 FKL77HPMSXWBH6BC False
success 0002 FKL77HPMSXWBH6BC False
success 0002 HUMAYL4DN568NKYN True
success 0002 C6VMQ6BN99WZKRH4 True
success 0002 POX0IPOQMPPJA5H0 True
sending retry HUMAYL4DN568NKYN 41
success 0002 7UF9L8VEL70RXMK5 True
trigger election 0000
leader 0000
success 0002 268M3IY7WNZ4V3VY True
sending retry C6VMQ6BN99WZKRH4 42
success 0000 S02N2TX4NOSMSRND True
success 0000 S02N2TX4NOSMSRND True
sending retry POX0IPOQMPPJA5H0 43
sending retry HUMAYL4DN568NKYN 41
sending retry 7UF9L8VEL70RXMK5 44
success 0002 AA4RM68061XHZCAC True
sending retry 268M3IY7WNZ4V3VY 45
success 0000 RUW8WXLWLAEUCTGY True
success 0000 RUW8WXLWLAEUCTGY True
sending retry C6VMQ6BN99WZKRH4 42
sending retry POX0IPOQMPPJA5H0 43
